timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1586200459463,6992,HTTP Request SEND-0,302,Found,Grupa wątków 1-5,text,true,,386,276,28,28,https://ez58211rss.azurewebsites.net/send,6992,0,577
1586200466456,10520,HTTP Request SEND-1,200,OK,Grupa wątków 1-5,text,true,,61615,133,28,28,https://ez58211rss.azurewebsites.net/,9947,0,869
1586200467740,9929,HTTP Request GET,200,OK,Grupa wątków 1-21,text,true,,61615,133,28,28,http://ez58211rss.azurewebsites.net/,9358,0,287
1586200468748,10687,HTTP Request GET,200,OK,Grupa wątków 1-22,text,true,,66258,133,30,30,http://ez58211rss.azurewebsites.net/,10039,0,285
1586200468064,11943,HTTP Request SAVE,200,OK,Grupa wątków 1-14,text,true,,66644,409,31,31,https://ez58211rss.azurewebsites.net/,1302,0,867
1586200468064,1302,HTTP Request SAVE-0,302,Found,Grupa wątków 1-14,text,true,,386,276,31,31,https://ez58211rss.azurewebsites.net/save,1302,0,867
1586200469366,10641,HTTP Request SAVE-1,200,OK,Grupa wątków 1-14,text,true,,66258,133,31,31,https://ez58211rss.azurewebsites.net/,10015,0,0
1586200468531,12097,HTTP Request DELETE,200,OK,Grupa wątków 1-3,text,true,,66644,356,31,31,https://ez58211rss.azurewebsites.net/,1307,0,870
1586200468531,1308,HTTP Request DELETE-0,302,Found,Grupa wątków 1-3,text,true,,386,223,31,31,https://ez58211rss.azurewebsites.net/delete,1307,0,870
1586200469839,10789,HTTP Request DELETE-1,200,OK,Grupa wątków 1-3,text,true,,66258,133,31,31,https://ez58211rss.azurewebsites.net/,10218,0,0
1586200469750,11613,HTTP Request GET,200,OK,Grupa wątków 1-23,text,true,,70900,133,31,31,http://ez58211rss.azurewebsites.net/,11047,0,282
1586200469038,12351,HTTP Request SAVE,200,OK,Grupa wątków 1-15,text,true,,71286,409,31,31,https://ez58211rss.azurewebsites.net/,1299,0,865
1586200469038,1299,HTTP Request SAVE-0,302,Found,Grupa wątków 1-15,text,true,,386,276,31,31,https://ez58211rss.azurewebsites.net/save,1299,0,865
1586200470337,11052,HTTP Request SAVE-1,200,OK,Grupa wątków 1-15,text,true,,70900,133,31,31,https://ez58211rss.azurewebsites.net/,10487,0,0
1586200470749,11299,HTTP Request GET,200,OK,Grupa wątków 1-24,text,true,,70900,133,32,32,http://ez58211rss.azurewebsites.net/,10720,0,283
1586200462039,20652,HTTP Request SEND,200,OK,Grupa wątków 1-6,text,true,,71286,409,32,32,https://ez58211rss.azurewebsites.net/,8494,0,576
1586200462039,8494,HTTP Request SEND-0,302,Found,Grupa wątków 1-6,text,true,,386,276,32,32,https://ez58211rss.azurewebsites.net/send,8494,0,576
1586200470533,12158,HTTP Request SEND-1,200,OK,Grupa wątków 1-6,text,true,,70900,133,32,32,https://ez58211rss.azurewebsites.net/,11584,0,576
1586200470589,121183,HTTP Request SEND,500,Internal Server Error,Grupa wątków 1-10,,false,,287,276,97,97,https://ez58211rss.azurewebsites.net/send,121183,0,883
1586200471749,120584,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-25,,false,,287,133,97,97,http://ez58211rss.azurewebsites.net/,120584,0,285
1586200470748,121603,HTTP Request SAVE,500,Internal Server Error,Grupa wątków 1-16,,false,,673,409,97,97,https://ez58211rss.azurewebsites.net/,1305,0,871
1586200470748,1305,HTTP Request SAVE-0,302,Found,Grupa wątków 1-16,text,true,,386,276,97,97,https://ez58211rss.azurewebsites.net/save,1305,0,871
1586200472053,120298,HTTP Request SAVE-1,500,Internal Server Error,Grupa wątków 1-16,,false,,287,133,97,97,https://ez58211rss.azurewebsites.net/,120298,0,0
1586200472750,120585,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-26,,false,,287,133,97,97,http://ez58211rss.azurewebsites.net/,120585,0,282
1586200472496,121169,HTTP Request SEND,500,Internal Server Error,Grupa wątków 1-11,,false,,287,276,97,97,https://ez58211rss.azurewebsites.net/send,121169,0,863
1586200472366,121615,HTTP Request SAVE,500,Internal Server Error,Grupa wątków 1-17,,false,,673,409,97,97,https://ez58211rss.azurewebsites.net/,1307,0,867
1586200472366,1307,HTTP Request SAVE-0,302,Found,Grupa wątków 1-17,text,true,,386,276,97,97,https://ez58211rss.azurewebsites.net/save,1307,0,867
1586200473673,120308,HTTP Request SAVE-1,500,Internal Server Error,Grupa wątków 1-17,,false,,287,133,97,97,https://ez58211rss.azurewebsites.net/,120308,0,0
1586200473740,120580,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-27,,false,,287,133,97,97,http://ez58211rss.azurewebsites.net/,120580,0,281
1586200464243,130549,HTTP Request SEND,500,Internal Server Error,Grupa wątków 1-7,,false,,673,409,97,97,https://ez58211rss.azurewebsites.net/,9377,0,859
1586200464243,9377,HTTP Request SEND-0,302,Found,Grupa wątków 1-7,text,true,,386,276,97,97,https://ez58211rss.azurewebsites.net/send,9377,0,859
1586200473620,121172,HTTP Request SEND-1,500,Internal Server Error,Grupa wątków 1-7,,false,,287,133,97,97,https://ez58211rss.azurewebsites.net/,121172,0,872
1586200473329,121602,HTTP Request DELETE,500,Internal Server Error,Grupa wątków 1-4,,false,,673,356,97,97,https://ez58211rss.azurewebsites.net/,1308,0,869
1586200473329,1308,HTTP Request DELETE-0,302,Found,Grupa wątków 1-4,text,true,,386,223,97,97,https://ez58211rss.azurewebsites.net/delete,1308,0,869
1586200474638,120293,HTTP Request DELETE-1,500,Internal Server Error,Grupa wątków 1-4,,false,,287,133,97,97,https://ez58211rss.azurewebsites.net/,120293,0,0
1586200473392,121599,HTTP Request SAVE,500,Internal Server Error,Grupa wątków 1-18,,false,,673,409,96,96,https://ez58211rss.azurewebsites.net/,1297,0,861
1586200473392,1297,HTTP Request SAVE-0,302,Found,Grupa wątków 1-18,text,true,,386,276,96,96,https://ez58211rss.azurewebsites.net/save,1297,0,861
1586200474689,120302,HTTP Request SAVE-1,500,Internal Server Error,Grupa wątków 1-18,,false,,287,133,96,96,https://ez58211rss.azurewebsites.net/,120302,0,0
1586200474740,120578,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-28,,false,,287,133,96,96,http://ez58211rss.azurewebsites.net/,120578,0,281
1586200474799,121161,HTTP Request SEND,500,Internal Server Error,Grupa wątków 1-12,,false,,287,276,96,96,https://ez58211rss.azurewebsites.net/send,121161,0,868
1586200475749,120621,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-29,,false,,287,133,96,96,http://ez58211rss.azurewebsites.net/,120621,0,283
1586200475029,121637,HTTP Request SAVE,500,Internal Server Error,Grupa wątków 1-19,,false,,673,409,96,96,https://ez58211rss.azurewebsites.net/,1324,0,877
1586200475029,1324,HTTP Request SAVE-0,302,Found,Grupa wątków 1-19,text,true,,386,276,96,96,https://ez58211rss.azurewebsites.net/save,1324,0,877
1586200476353,120313,HTTP Request SAVE-1,500,Internal Server Error,Grupa wątków 1-19,,false,,287,133,96,96,https://ez58211rss.azurewebsites.net/,120313,0,0
1586200476750,120585,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-30,,false,,287,133,96,96,http://ez58211rss.azurewebsites.net/,120585,0,289
1586200476386,121199,HTTP Request SEND,500,Internal Server Error,Grupa wątków 1-13,,false,,287,276,96,96,https://ez58211rss.azurewebsites.net/send,121199,0,883
1586200476673,121629,HTTP Request SAVE,500,Internal Server Error,Grupa wątków 1-20,,false,,673,409,96,96,https://ez58211rss.azurewebsites.net/,1319,0,878
1586200476673,1319,HTTP Request SAVE-0,302,Found,Grupa wątków 1-20,text,true,,386,276,96,96,https://ez58211rss.azurewebsites.net/save,1319,0,878
1586200477993,120309,HTTP Request SAVE-1,500,Internal Server Error,Grupa wątków 1-20,,false,,287,133,96,96,https://ez58211rss.azurewebsites.net/,120309,0,0
1586200477753,120588,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-31,,false,,287,133,96,96,http://ez58211rss.azurewebsites.net/,120588,0,283
1586200466583,131846,HTTP Request SEND,500,Internal Server Error,Grupa wątków 1-8,,false,,673,409,96,96,https://ez58211rss.azurewebsites.net/,10689,0,883
1586200466583,10689,HTTP Request SEND-0,302,Found,Grupa wątków 1-8,text,true,,386,276,96,96,https://ez58211rss.azurewebsites.net/send,10689,0,883
1586200477272,121157,HTTP Request SEND-1,500,Internal Server Error,Grupa wątków 1-8,,false,,287,133,96,96,https://ez58211rss.azurewebsites.net/,121157,0,867
1586200476977,121651,HTTP Request DELETE,500,Internal Server Error,Grupa wątków 1-5,,false,,673,356,96,96,https://ez58211rss.azurewebsites.net/,1362,0,881
1586200476977,1362,HTTP Request DELETE-0,302,Found,Grupa wątków 1-5,text,true,,386,223,96,96,https://ez58211rss.azurewebsites.net/delete,1362,0,881
1586200478340,120288,HTTP Request DELETE-1,500,Internal Server Error,Grupa wątków 1-5,,false,,287,133,96,96,https://ez58211rss.azurewebsites.net/,120288,0,0
1586200477670,121655,HTTP Request SAVE,500,Internal Server Error,Grupa wątków 1-21,,false,,673,409,95,95,https://ez58211rss.azurewebsites.net/,1316,0,872
1586200477670,1316,HTTP Request SAVE-0,302,Found,Grupa wątków 1-21,text,true,,386,276,95,95,https://ez58211rss.azurewebsites.net/save,1316,0,872
1586200478986,120339,HTTP Request SAVE-1,500,Internal Server Error,Grupa wątków 1-21,,false,,287,133,95,95,https://ez58211rss.azurewebsites.net/,120339,0,0
1586200478741,120722,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-32,,false,,287,133,95,95,http://ez58211rss.azurewebsites.net/,120722,0,405
1586200479748,120603,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-33,,false,,287,133,95,95,http://ez58211rss.azurewebsites.net/,120603,0,310
1586200479436,121708,HTTP Request SAVE,500,Internal Server Error,Grupa wątków 1-22,,false,,673,409,95,95,https://ez58211rss.azurewebsites.net/,1412,0,976
1586200479436,1412,HTTP Request SAVE-0,302,Found,Grupa wątków 1-22,text,true,,386,276,95,95,https://ez58211rss.azurewebsites.net/save,1412,0,976
1586200480848,120296,HTTP Request SAVE-1,500,Internal Server Error,Grupa wątków 1-22,,false,,287,133,95,95,https://ez58211rss.azurewebsites.net/,120296,0,0
1586200480007,121201,HTTP Request SEND,500,Internal Server Error,Grupa wątków 1-14,,false,,287,276,95,95,https://ez58211rss.azurewebsites.net/send,121201,0,895
1586200480741,120590,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-34,,false,,287,133,95,95,http://ez58211rss.azurewebsites.net/,120590,0,292
1586200468196,133164,HTTP Request SEND,500,Internal Server Error,Grupa wątków 1-9,,false,,673,409,95,95,https://ez58211rss.azurewebsites.net/,11998,0,871
1586200468196,11998,HTTP Request SEND-0,302,Found,Grupa wątków 1-9,text,true,,386,276,95,95,https://ez58211rss.azurewebsites.net/send,11998,0,871
1586200480194,121166,HTTP Request SEND-1,500,Internal Server Error,Grupa wątków 1-9,,false,,287,133,95,95,https://ez58211rss.azurewebsites.net/,121166,0,871
1586200481746,120574,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-35,,false,,287,133,95,95,http://ez58211rss.azurewebsites.net/,120574,0,282
1586200481389,121168,HTTP Request SEND,500,Internal Server Error,Grupa wątków 1-15,,false,,287,276,95,95,https://ez58211rss.azurewebsites.net/send,121168,0,866
1586200481363,121601,HTTP Request SAVE,500,Internal Server Error,Grupa wątków 1-23,,false,,673,409,95,95,https://ez58211rss.azurewebsites.net/,1313,0,870
1586200481363,1313,HTTP Request SAVE-0,302,Found,Grupa wątków 1-23,text,true,,386,276,95,95,https://ez58211rss.azurewebsites.net/save,1313,0,870
1586200482675,120289,HTTP Request SAVE-1,500,Internal Server Error,Grupa wątków 1-23,,false,,287,133,95,95,https://ez58211rss.azurewebsites.net/,120289,0,0
1586200482740,120584,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-36,,false,,287,133,95,95,http://ez58211rss.azurewebsites.net/,120584,0,282
1586200482048,121605,HTTP Request SAVE,500,Internal Server Error,Grupa wątków 1-24,,false,,673,409,95,95,https://ez58211rss.azurewebsites.net/,1313,0,871
1586200482048,1313,HTTP Request SAVE-0,302,Found,Grupa wątków 1-24,text,true,,386,276,95,95,https://ez58211rss.azurewebsites.net/save,1313,0,871
1586200483361,120292,HTTP Request SAVE-1,500,Internal Server Error,Grupa wątków 1-24,,false,,287,133,95,95,https://ez58211rss.azurewebsites.net/,120292,0,0
1586200482691,121585,HTTP Request DELETE,500,Internal Server Error,Grupa wątków 1-6,,false,,673,356,95,95,https://ez58211rss.azurewebsites.net/,1300,0,862
1586200482691,1300,HTTP Request DELETE-0,302,Found,Grupa wątków 1-6,text,true,,386,223,95,95,https://ez58211rss.azurewebsites.net/delete,1300,0,862
1586200483991,120285,HTTP Request DELETE-1,500,Internal Server Error,Grupa wątków 1-6,,false,,287,133,95,95,https://ez58211rss.azurewebsites.net/,120285,0,0
1586200483747,120608,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-37,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120608,0,285
1586200484739,120573,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-38,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120573,0,281
1586200485747,120632,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-39,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120632,0,288
